Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;First Review;Last Review;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;54.0;100.0;30.0;2;20;1;1125;2;15;45;316;73;2016-04-24;2017-04-06;99.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;6.26
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;36.0;;;1;0;1;12;4;16;28;155;175;2014-05-01;2017-03-29;97.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;4.89
Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;30.0;;8.0;1;10;1;1125;5;23;53;54;4;2017-02-12;2017-03-25;95.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;2.14
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;80.0;;;2;10;3;1125;8;16;31;294;4;2014-11-05;2015-09-25;70.0;10.0;9.0;10.0;9.0;9.0;9.0;strict;0.14
Berruguete;Tetuán;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;49.0;90.0;10.0;1;11;2;28;0;9;18;24;17;2016-09-20;2017-04-03;91.0;9.0;10.0;10.0;10.0;8.0;9.0;moderate;2.54
Cármenes;Latina;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;;120.0;84.0;;1;0;1;1125;10;10;10;260;3;2015-10-13;2016-01-05;80.0;8.0;7.0;9.0;9.0;9.0;9.0;flexible;0.17
Jerónimos;Retiro;Other;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Doorman,Breakfast,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;59.0;99.0;22.0;1;0;1;99;3;15;37;248;39;2016-10-20;2017-04-06;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;6.84
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;65.0;150.0;30.0;1;0;4;1125;13;43;73;348;0;;;;;;;;;;moderate;
Gaztambide;Chamberí;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Essentials;29.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Condominium;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Shampoo;35.0;;;2;0;2;1125;4;11;24;170;84;2015-09-07;2017-03-12;88.0;9.0;9.0;9.0;9.0;10.0;9.0;strict;4.34
Trafalgar;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;48.0;150.0;90.0;2;5;1;1125;0;0;0;241;1;2017-01-01;2017-01-01;40.0;6.0;2.0;10.0;10.0;8.0;4.0;moderate;0.31
Palacio;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Heating,Washer,Essentials,Shampoo;60.0;;;1;0;2;1125;0;0;0;0;0;;;;;;;;;;flexible;
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;60.0;150.0;;1;0;4;365;0;0;11;102;18;2011-02-23;2016-05-30;91.0;9.0;10.0;9.0;10.0;10.0;8.0;moderate;0.24
Pacífico;Retiro;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;;;1;0;1;7;7;19;39;305;32;2016-09-25;2017-03-14;95.0;9.0;9.0;10.0;10.0;9.0;9.0;flexible;4.9
Prosperidad;Chamartín;Apartment;Entire home/apt;5;1.0;3.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo;69.0;150.0;;3;10;3;1125;8;19;39;291;20;2014-09-02;2017-03-27;84.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;0.63
Buenavista;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Free parking on premises,Doorman,Pets live on this property,Dog(s),Cat(s),Elevator in building,Heating,Washer,Essentials,Hangers,Laptop friendly workspace;16.0;;10.0;1;20;3;1125;22;52;82;357;0;;;;;;;;;;moderate;
Prosperidad;Chamartín;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;35.0;;;1;0;1;1125;28;58;88;363;18;2016-02-23;2017-03-20;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.31
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Essentials;90.0;;20.0;1;0;2;1125;0;0;0;95;0;;;;;;;;;;strict;
Valdeacederas;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Iron,Laptop friendly workspace;74.0;200.0;;1;0;4;180;28;58;88;158;0;;;;;;;;;;flexible;
Valverde;Fuencarral - El Pardo;Other;Private room;2;2.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;;1;18;1;1125;4;25;55;330;4;2016-12-11;2017-02-19;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.01
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials;24.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Justicia;Centro;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Pets live on this property,Dog(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hair dryer,Iron;33.0;;;1;11;1;1125;2;11;20;20;224;2012-08-25;2017-04-03;94.0;9.0;9.0;10.0;10.0;10.0;9.0;strict;3.98
Puerta Bonita;Carabanchel;Other;Entire home/apt;5;1.0;3.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Essentials,Hangers,Iron;60.0;;20.0;1;0;1;1125;0;0;3;70;2;2016-10-22;2017-02-05;100.0;10.0;10.0;10.0;10.0;8.0;8.0;flexible;0.36
Embajadores;Centro;Apartment;Entire home/apt;7;2.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;200.0;200.0;70.0;5;15;2;1125;4;20;38;299;12;2016-12-05;2017-04-04;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.88
Goya;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;1.0;Airbed;TV,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;85.0;96.0;30.0;1;50;7;60;7;37;67;342;3;2015-06-29;2016-07-03;93.0;10.0;9.0;10.0;10.0;10.0;9.0;flexible;0.14
Castellana;Salamanca;Apartment;Entire home/apt;2;2.0;1.0;1.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Iron,Laptop friendly workspace;70.0;;5.0;1;0;1;1125;11;37;67;67;1;2017-03-19;2017-03-19;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0
Embajadores;Centro;Apartment;Entire home/apt;7;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;60.0;;;3;15;2;365;3;17;31;258;165;2013-10-22;2017-03-26;88.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;3.91
Campamento;Latina;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer;40.0;;;1;0;1;5;27;57;87;362;0;;;;;;;;;;flexible;
Quintana;Ciudad Lineal;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;50.0;120.0;15.0;2;10;4;1125;5;21;21;21;20;2015-12-16;2017-03-21;94.0;10.0;10.0;10.0;10.0;9.0;10.0;moderate;1.25
Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,First aid kit,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;75.0;;30.0;1;0;2;5;4;12;38;240;46;2015-04-21;2017-04-02;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.92
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;150.0;150.0;;1;0;1;4;27;57;87;87;0;;;;;;;;;;flexible;
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo;129.0;250.0;25.0;4;25;2;1125;9;23;47;322;7;2015-04-27;2015-11-25;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.29
Vista Alegre;Carabanchel;Apartment;Shared room;1;1.0;1.0;8.0;Real Bed;Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Hair dryer,Iron;10.0;;5.0;1;0;3;1125;12;39;63;63;20;2016-08-02;2017-03-28;93.0;10.0;10.0;10.0;9.0;9.0;10.0;moderate;2.4
Justicia;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo;195.0;150.0;30.0;6;0;1;60;14;25;38;290;0;;;;;;;;;;moderate;
Berruguete;Tetuán;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;;1;0;1;7;30;60;90;181;0;;;;;;;;;;flexible;
Sol;Centro;Apartment;Private room;2;5.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;32.0;200.0;;1;0;4;1125;0;0;10;10;0;;;;;;;;;;strict;
Cortes;Centro;Apartment;Entire home/apt;10;1.0;3.0;8.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;76.0;300.0;50.0;1;22;2;1125;18;40;65;338;41;2012-05-26;2017-01-01;94.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;0.69
Cortes;Centro;Other;Private room;1;2.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;32.0;;;1;12;2;1125;21;51;81;203;1;2016-10-02;2016-10-02;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;0.16
Palacio;Centro;Hostel;Shared room;16;4.0;1.0;8.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Lock on bedroom door;16.0;;;1;17;1;1125;21;50;78;353;1;2017-03-06;2017-03-06;60.0;4.0;8.0;8.0;8.0;10.0;6.0;moderate;0.88
Jerónimos;Retiro;Condominium;Private room;2;2.0;1.0;2.0;Real Bed;TV,Internet,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Hangers,Hair dryer;40.0;;;1;0;1;1125;0;6;36;61;3;2016-03-23;2016-05-01;100.0;10.0;10.0;10.0;10.0;10.0;9.0;flexible;0.24
Sol;Centro;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49;36.0;200.0;30.0;1;0;7;1125;0;0;6;281;0;;;;;;;;;;strict;
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,First aid kit,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;40.0;;;1;0;1;1125;0;5;6;74;9;2017-02-27;2017-04-07;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;6.59
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Breakfast,Heating,Washer,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Doorman Entry;35.0;;10.0;2;25;2;1125;5;18;43;124;73;2015-12-03;2017-04-03;91.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;4.44
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;35.0;100.0;20.0;2;0;3;10;2;2;12;28;80;2015-10-18;2017-04-01;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.45
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;39.0;;15.0;1;0;4;1125;0;15;31;121;18;2016-07-18;2017-02-28;90.0;10.0;10.0;10.0;9.0;9.0;9.0;moderate;2.04
Comillas;Carabanchel;Loft;Entire home/apt;2;1.0;0.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Heating,Washer,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance;36.0;;15.0;2;10;2;25;12;27;54;85;43;2016-07-15;2017-04-03;81.0;9.0;9.0;9.0;9.0;9.0;8.0;strict;4.81
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Pets live on this property,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;49.0;;20.0;2;5;1;1125;0;0;0;0;3;2015-11-15;2017-01-31;93.0;9.0;7.0;10.0;10.0;10.0;9.0;strict;0.18
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hair dryer,Iron,translation missing: en.hosting_amenity_50;44.0;100.0;30.0;3;10;4;150;8;29;29;247;85;2012-05-21;2017-01-14;85.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.43
Mirasierra;Fuencarral - El Pardo;Townhouse;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;115.0;;;1;0;1;1125;12;18;38;38;0;;;;;;;;;;flexible;
Numancia;Puente de Vallecas;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;54.0;;;1;0;3;60;0;0;23;296;1;2017-03-17;2017-03-17;80.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;50.0;100.0;20.0;1;0;2;7;1;7;17;260;85;2015-10-12;2017-03-13;93.0;10.0;9.0;9.0;10.0;10.0;9.0;moderate;4.68
Zofío;Usera;Apartment;Entire home/apt;5;1.0;4.0;4.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Hair dryer,Iron;52.0;;;1;0;2;1125;13;30;50;322;62;2015-12-09;2017-04-02;82.0;9.0;8.0;9.0;9.0;8.0;9.0;strict;3.82
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;55.0;;15.0;2;15;2;60;9;24;29;304;89;2014-03-17;2017-03-05;93.0;10.0;9.0;9.0;9.0;10.0;9.0;flexible;2.39
Cortes;Centro;Condominium;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Elevator in building,Washer,Smoke detector,Essentials,Shampoo;60.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;;;flexible;
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;25.0;;15.0;1;5;10;1125;0;0;3;278;2;2015-07-09;2015-08-01;70.0;8.0;8.0;10.0;10.0;9.0;7.0;strict;0.09
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Kitchen,Breakfast,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;27.0;;6.0;1;6;1;3;9;19;40;41;1;2017-03-21;2017-03-21;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0
